26.5	0	17
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	23
26.3	0	16
26.3	0	16
26.3	0	17
26.3	0	18
26.3	0	16
26.3	0	16
26.3	0	16
26.3	1	16
26.3	0	18
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	17
26.3	0	16
26.3	0	16
26.3	0	17
26.3	0	14
26.3	1	17
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	17
26.3	0	19
26.3	0	16
26.3	0	16
26.3	0	17
26.3	0	17
26.3	0	16
26.3	0	17
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	13
26.3	0	17
26.3	0	0
26.3	1	16
26.3	0	16
26.3	0	17
26.3	0	16
26.3	0	16
26.3	0	17
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	17
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	18
26.3	0	22
26.3	0	19
26.3	0	17
26.3	0	16
26.3	0	17
26.4	1	16
26.7	1	17
26.3	1	16
26.3	0	16
26.3	0	16
26.7	2	18
26.4	1	18
26.4	1	16
26.4	0	16
26.4	0	16
26.4	0	16
26.4	0	16
26.4	0	16
26.4	0	16
26.4	0	16
26.4	1	16
26.4	0	16
26.4	0	17
26.4	0	16
26.4	0	16
26.4	0	16
26.4	0	17
26.4	0	17
26.4	1	17
26.4	0	16
26.4	0	16
26.4	0	19
26.4	0	16
26.4	0	17
26.4	0	17
26.4	0	17
26.4	0	18
26.4	0	16
26.6	1	0
26.4	0	18
26.4	0	16
26.4	0	18
26.4	0	16
26.4	0	16
26.6	1	19
26.4	1	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	17
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	0
26.3	0	16
26.3	0	11
26.3	0	17
26.3	0	15
26.3	0	14
26.3	0	18
26.3	0	16
26.3	0	16
26.3	0	16
26.3	1	16
26.3	0	16
26.3	0	20
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	19
26.3	0	16
26.3	0	23
26.3	1	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	18
26.3	0	16
26.3	0	16
26.3	0	16
26.3	1	19
26.3	0	18
26.3	0	19
26.3	0	16
26.3	0	19
26.3	0	16
26.3	0	16
26.3	0	18
26.3	0	20
26.3	0	16
26.3	1	16
26.3	0	16
26.3	0	16
26.3	0	19
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	0	16
26.3	1	16
26.3	1	16
26.3	0	16
26.3	0	16
26.3	0	16
